OR1E3	Olfr1,Olfr389,Olfr376,Olfr382,Olfr394,Olfr385,Olfr381,Olfr395,Olfr380,Olfr392,Olfr23,Olfr393,Olfr20,Olfr390,Olfr384,Olfr378
Ddx4	DDX4
DDX4	Ddx4
Ldb1	LDB1
LDB1	Ldb1
Kifc1	
Kifc5b	KIFC1
KIFC1	Kifc5b
Htt	HTT
HTT	Htt
Tenm4	TENM4
TENM4	Tenm4
Sema3a	SEMA3A
SEMA3A	Sema3a
Coil	COIL
COIL	Coil
Ngf	NGF
NGF	Ngf
Csnk2a1	CSNK2A1
CSNK2A1	Csnk2a1
Gja8	GJA8
GJA8	Gja8
Mdm2	MDM2
